Club Name,Latitude,Longitude
Aeolian Yacht Club,37.750666666667,-122.2354
Alameda Yacht Club,37.77795,-122.2587
Alamitos Bay Yacht Club,33.7457,-118.1169
American Yacht Club,40.9408,-73.699133333333
Anacapa Yacht Club,34.172516666667,-119.23065
Anacortes Yacht Club,48.5125,-122.605
Annapolis Yacht Club,38.9739,-76.4852
Astoria Yacht Club,46.190833333333,-123.85578333333
Bahia Corinthian Yacht Club,33.606666666667,-117.88478333333
Balboa Yacht Club,33.604166666667,-117.883
Bellevue Yacht Club,47.575833333333,-122.18826666667
Bellingham Yacht Club,48.757466666667,-122.50508333333
Birch Bay Village Yacht Club,48.931333333333,-122.78725
Bodensee Yacht Club,47.723316666667,-9.2296666666667
Bremerton Yacht Club,47.588166666667,-122.6625
Brownsville Yacht Club,47.651666666667,-122.61555
Burrard Yacht Club,49.3108,-123.09095
Cabrillo Beach Yacht Club,33.72445,-118.2825
California Yacht Club,33.982383333333,-118.44625
Camano Island Yacht Club,48.216516666667,-122.53895
Campbell River Yacht Club,50.02965,-125.24725
Canadian Forces Sailing Assoc.,48.438166666667,-123.43416666667
Capital City Yacht Club,48.672516666667,-123.41896666667
Carling Yacht Club,47.209333333333,-122.75516666667
Cathlamet Yacht Club,46.205833333333,-123.38666666667
Channel Islands Yacht Club,34.163807,-119.226589
Clover Island Yacht Club,46.215833333333,-119.1115
Columbia River Yacht Club,45.609833333333,-122.6635
Comox Valley Yacht Club,49.668333333333,-124.925
Corinthian Yacht Club of Bellingham,48.75685,-122.4992
Corinthian Yacht Club of Edmonds,47.809333333333,-122.39158333333
Corinthian Yacht Club of Seattle,47.685416666667,-122.40366666667
Corinthian Yacht Club of Tacoma,47.2462,-122.43251666667
Coronado Cays Yacht Club,32.625,-117.1305
Coronado Yacht Club,32.6825,-117.173
Crescent Beach Yacht Club,49.05695,-122.86751666667
Dagmars Yacht Club,48.01255,-122.17958333333
Dana Point Yacht Club,33.460333333333,-117.70416666667
Dana West Yacht Club,33.458666666667,-117.702
Day Island Yacht Club,47.23835,-122.56103333333
Deas Island Yacht Club,49.115366666667,-123.06345
Deep Bay Yacht Club,0,0
Deep Cove Yacht Club,49.327866666667,-122.94625
Deer Harbor Yacht Club,48.620583333333,-123.00273333333
Del Rey Yacht Club,33.9815,-118.44983333333
Des Moines Yacht Club,47.39685,-122.33016666667
Duwamish Yacht Club,47.519866666667,-122.30745
Eagle Harbor Yacht Club,47.622,-122.52141666667
Eagle Harbour Yacht Club,49.35255,-123.27006666667
Edmonds Yacht Club,47.809483333333,-122.39196666667
Emerald Rose Yacht Club,48.3982,-122.62843333333
Everett Yacht Club,47.994783333333,-122.22383333333
False Creek Yacht Club,49.273333333333,-123.13833333333
Fidalgo Yacht Club,48.513383333333,-122.60466666667
Fircrest Yacht Club,47.305,-122.5115
Flounder Bay Yacht Club,48.491266666667,-122.68071666667
Fox Island Yacht Club,47.240183333333,-122.60151666667
Gig Harbor Yacht Club,47.338333333333,-122.58833333333
Golden Gate Yacht Club,37.8077,-122.4426
Half Moon Bay Yacht Club,37.5028,-122.49085
Harrison Yacht Club,49.306066666667,-121.7734
Hat Island Yacht & Golf Club,48.02045,-122.3215
Hawaii Yacht Club,21.2861,-157.8429
Hayden Island Yacht Club,45.60765,-122.6758
Hebe Haven Yacht Club,22.358666666667,-114.257
Hidden Harbor Yacht Club,47.658583333333,-122.3783
Hilo Yacht Club,19.736133333333,-155.03395
Hood River Yacht Club,45.712933333333,-121.50288333333
International Yacht Club,1.9916666666667,-1.7655
Juneau Yacht Club,58.3054,-134.43436666667
Kelowna Yacht Club,49.890166666667,-119.49783333333
Ketchikan Yacht Club,55.340183333333,-131.6419
King Harbor Yacht Club,33.8488,-118.4008
Kingston Cove Yacht Club,47.791666666667,-122.495
Kitsilano Yacht Club,49.275,-123.16
La Conner Yacht Club,48.391,-122.4975
Ladner Yacht Club,49.095266666667,-123.08428333333
Ladysmith Yacht Club,49.00655,-123.82661666667
Lahaina Yacht Club,20.87565,-156.68
Long Beach Yacht Club,33.753,-118.11366666667
Longview Yacht Club,46.16795,-123.04926666667
Lopez Island Yacht Club,48.5132,-122.91585
Los Angeles Yacht Club,33.723333333333,-118.276
Maple Bay Yacht Club,48.803,-123.60216666667
Meydenbauer Bay Yacht Club,47.608183333333,-122.20908333333
Milltown Sailing Association,48.001666666667,-122.22166666667
Mission Bay Yacht Club,32.766666666667,-117.25
Morro Bay Yacht Club,35.361833333333,-120.8545
Mukilteo Yacht Club,47.997583333333,-122.22331666667
Multnomah Channel Yacht Club,45.735183333333,-122.8505
Nanaimo Yacht Club,49.177816666667,-123.93991666667
Navy Yacht Club,32.651,-117.14911666667
Navy Yacht Club - Everett,48.000166666667,-122.22333333333
Newport Harbor Yacht Club,33.605276666667,-117.90916666667
Oak Harbor Yacht Club,48.286683333333,-122.63366666667
Oakland Yacht Club,37.783466666667,-122.2651
Oceanside Yacht Club,33.178833333333,-117.4
Olympia Yacht Club,47.047783333333,-122.90586666667
Orcas Island Yacht Club,48.631166666667,-122.95991666667
Oro Bay Yacht Club,47.136083333333,-122.70206666667
Pacific Corinthian Yacht Club,34.25,-119.25
Pleasant Harbor Yacht Club,47.6622,-122.91426666667
Point Roberts Marina Resort,48.973933333333,-123.06313333333
Point Roberts Yacht Club,48.976833333333,-123.06816666667
Port Angeles Yacht Club,48.126366666667,-123.45258333333
Port Credit Yacht Club,43.556333333333,-79.547833333333
Port Ludlow Yacht Club,47.921666666667,-122.685
Port Madison Yacht Club,47.696266666667,-122.53613333333
Port Orchard Yacht Club,47.5375,-122.64083333333
Port Townsend Yacht Club,48.107633333333,-122.77361666667
Portland Yacht Club,45.600716666667,-122.6519
Poulsbo Yacht Club,47.726666666667,-122.63833333333
Puget Sound Yacht Club,47.649,-122.33016666667
Quartermaster Yacht Club,47.393666666667,-122.464
Queen City Yacht Club,47.643333333333,-122.315
Rainier Yacht Club,47.521733333333,-122.26116666667
Richland Yacht Club,46.265033333333,-119.25285
Richmond Yacht Club,49.182133333333,-123.14153333333
Roche Harbor Yacht Club,47.561466666667,-122.62246666667
Rose City Yacht Club,45.6014,-122.62626666667
Royal City Yacht Club,49.114483333333,-123.07696666667
Royal New Zealand Yacht Squadron,36.835583333333,-174.74538333333
Royal Vancouver Yacht Club - Coal Harbour,49.295,-123.13083333333
Royal Vancouver Yacht Club - Jericho,49.275216666667,-123.18571666667
Royal Victoria Yacht Club,48.4525,-123.2945
Sacramento Yacht Club,38.535166666667,-121.5185
Salt Spring Island Sailing Club,48.845966666667,-123.48875
San Diego Yacht Club,32.718055,-117.22861166667
San Francisco Yacht Club,37.8722,-122.4628
San Juan Island Yacht Club,48.539316666667,-123.01553333333
Santa Barbara Yacht Club,34.40355,-119.6927
Santa Monica Windjammers Yacht Club,33.977766666667,-118.44443333333
Sausalito Yacht Club,37.856666666667,-122.478
Sauvie Island Yacht Club,45.605666666667,-122.65833333333
Schooner Cove Yacht Club,49.2875,-124.13416666667
Seabacs Yacht Club (Boeing Co.),47.651666666667,-122.61333333333
Seattle Singles Yacht Club,47.658583333333,-122.37816666667
Seattle Yacht Club,0,0
Semiahmoo Marina Yacht Club,48.9882,-122.77108333333
Semiahmoo Yacht Club,48.991666666667,-122.765
Sequim Bay Yacht Club,48.064683333333,-123.04028333333
Shelter Bay Yacht Club,48.381033333333,-122.5132
Shelton Yacht Club,47.213916666667,-123.08493333333
Shilshole Bay Yacht Club,0.68416666666667,-0.4045
Sidney North Saanich Yacht Club,48.673333333333,-123.417
Silva Bay Yacht Club,49.14815,-123.69678333333
Sinclair Inlet Yacht Club,47.544833333333,-122.6395
Sloop Tavern Yacht Club,47.679716666667,-122.40663333333
South Sound Sailing Society,47.046316666667,-122.90476666667
South Whidbey Yacht Club,48.0387,-122.404275
Southwestern Yacht Club,32.745,-117.2338
Squalicum Yacht Club,48.757783333333,-122.50533333333
Squamish Yacht Club,49.6945,-123.15433333333
St. Francis Yacht Club,37.8,-122.4
Stockton Sailing Club,37.9759346,-121.3739359
Swinomish Yacht Club,48.395233333333,-122.4965
Tacoma Yacht Club,47.305866666667,-122.5122
Three Tree Point Yacht Club,47.401266666667,-122.3308
Totem Yacht Club,47.256283333333,-122.43528333333
Tyee Yacht Club - Portland,45.60125,-122.63286666667
Tyee Yacht Club - Seattle,47.650666666667,-122.32333333333
Vallarta Yacht Club,20.693266666667,-105.29316666667
Vallejo Yacht Club,38.105233333333,-122.26653333333
Vancouver Rowing Club,49.296316666667,-123.13385
Ventura Yacht Club,34.245783333333,-119.26563333333
Viking Yacht Club,47.280766666667,-122.39303333333
Waikiki Yacht Club,21.286616666667,-157.84328333333
Walla Walla Yacht Club,46.027233333333,-118.9369
Washington Yacht Club,0,0
West Seattle Yacht Club,47.651666666667,-122.61083333333
West Sound Corinthian Yacht Club,47.544366666667,-122.63955
West Vancouver Yacht Club,49.355733333333,-123.27348333333
Willamette Sailing Club,45.4785,-122.66983333333
William H Seward Yacht Club,60.11735,-149.43306666667
Yakima Valley Boat Club,46.63535,-121.16916666667
